05f0	2	00	00	0e	00	00	00	00	00	2.084334
04f0	8	00	00	00	00	00	00	00	00	2.116588
0690	8	00	00	00	00	00	00	00	00	2.124836
04f0	8	00	00	00	00	00	00	00	00	2.126036
05f0	2	00	00	00	00	00	00	00	00	2.134353
0690	8	00	00	00	00	00	00	00	00	2.135407
04f0	8	00	00	00	80	00	eb	b6	13	2.144996
0130	8	00	00	40	ff	00	00	41	3d	2.156946
0131	8	00	00	40	00	00	00	41	9b	2.157975
0140	8	00	00	00	00	02	29	21	f0	2.158382
04f0	8	00	00	00	80	00	eb	b6	13	2.165245
0130	8	00	00	40	ff	00	00	42	1a	2.176891
0131	8	00	00	40	00	00	00	42	bc	2.177941
0140	8	00	00	00	00	04	25	22	a5	2.178345
05f0	2	00	00	00	00	04	25	22	a5	2.184367
04f0	8	00	00	00	80	00	eb	b6	13	2.185408
0130	8	00	00	40	ff	00	00	43	07	2.196924
0131	8	00	00	40	00	00	00	43	a1	2.197951
0140	8	00	00	00	00	06	26	23	6f	2.198356
04f0	8	00	00	00	80	00	eb	b6	13	2.205049
0430	8	00	00	00	00	00	00	00	00	2.206446
04b1	8	00	00	00	00	00	00	00	00	2.207510
01f1	8	0f	00	00	00	00	00	00	00	2.207884
0153	8	00	00	00	ff	00	ff	00	00	2.208233
0002	8	00	00	00	00	00	08	00	50	2.208581
02b0	5	57	00	00	07	50	08	00	50	2.210872
0002	8	00	00	01	00	00	08	01	27	2.216572
0153	8	00	00	00	ff	00	ff	00	00	2.217625
0130	8	00	00	48	ff	00	00	44	23	2.218012
0131	8	00	00	40	00	00	00	44	f2	2.218094
0140	8	10	00	00	00	08	29	24	2f	2.218148
02b0	5	57	00	00	07	41	29	24	2f	2.221139
04f0	8	00	00	00	80	00	eb	b6	13	2.225052
0430	8	00	00	00	00	00	00	00	00	2.226632
04b1	8	00	00	00	00	00	00	00	00	2.227679
01f1	8	0f	00	00	00	00	00	00	00	2.227988
0153	8	00	00	00	ff	00	ff	00	00	2.228237
0002	8	00	00	00	00	00	08	02	6a	2.228494
